Created at,Description,Followers Count,Friends Count,Location,Profile Image Url,Statuses Count,User ID,User Name,text
Fri Oct 14 21:03:22 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.581027911682777e+18,skitontop,"Great place to learn trading and to get instant help join our community 
https://t.co/MmIMKIZcDF

$SPY $NDX $IWM… https://t.co/jqqmdiUfan"
Fri Oct 14 21:03:03 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.581027829457617e+18,skitontop,"$SPX $SPY $ES_F $DJI $QQQ $NDX $FB $AMZN $AAPL $MSFT $NFLX $GOOGL $TSLA 
To stay updated with trading experts join… https://t.co/twbnnbKlTt"
Fri Oct 14 21:02:32 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810277012675215e+18,skitontop,"Thanks for the alert &amp; updates
Best analysis so far

https://t.co/MmIMKJhlRN

$FB $LOVE $WORK $AAL $AMD $MNTA $GLD… https://t.co/wngxP2oKDw"
Fri Oct 14 21:02:14 +0000 2022,"Engineer & PMP, Author, Trader & Investor, Here for Tech, Value, Growth, Macroeconomics, #Tesla⚡& #SpaceX 🛰, US Politics & MiddleEast🇺🇸🇮🇷🇹🇷",202.0,428.0,"Washington, DC",http://pbs.twimg.com/profile_images/1522025845652656129/zk4RfOIf_normal.jpg,3692.0,1.5810276243607716e+18,ALi⚡️🚀📈👩‍🚀🛰,"RT @iam_dr_ali: Follow the Smart Money not Dumb Money!

During a bear market is best time to accumulate not capitulate!

#StockMarket #bond…"
Fri Oct 14 21:02:13 +0000 2022,"Former BTD enthusiast. These days, I'm selling rips and shorting chips.",391.0,679.0,United States,http://pbs.twimg.com/profile_images/1478171774797942786/xNs7gcBm_normal.jpg,22899.0,1.581027620510085e+18,leelo da tyga,"@TicTocTick Tic, y is aapl the only mega cap not to take out its June lows.. it's annoying"
Fri Oct 14 21:01:33 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810274548727562e+18,skitontop,"Good morning traders! 🌞

No changes to the plan today! 
https://t.co/MmIMKIZcDF
Best of luck 🍀🍀🍀

$SPY $NDX $IWM… https://t.co/Vx4uzh9AZG"
Fri Oct 14 21:01:14 +0000 2022,"Up to the minute Apple news. The best Mac and iOS rumors, apps and more in one feed. #Apple $AAPL From @GlassWaveApps",1918.0,3663.0,Designed in California,http://pbs.twimg.com/profile_images/460560202761109504/cDCqNA6s_normal.png,110503.0,1.5810273731555082e+18,MacHash,mophie powerstation plus combines integrated Lightning/USB-C cables and fast charging https://t.co/TQPqzC5VQW $AAPL https://t.co/UnOGHUE4X1
Fri Oct 14 21:01:12 +0000 2022,"Up to the minute Apple news. The best Mac and iOS rumors, apps and more in one feed. #Apple $AAPL From @GlassWaveApps",1918.0,3663.0,Designed in California,http://pbs.twimg.com/profile_images/460560202761109504/cDCqNA6s_normal.png,110503.0,1.5810273638273843e+18,MacHash,Apple Watch hits record 30% attach rate in North America in H1 2022 https://t.co/x25zlfGebS $AAPL https://t.co/TPrp1DNVOF
Fri Oct 14 21:01:09 +0000 2022,"Up to the minute Apple news. The best Mac and iOS rumors, apps and more in one feed. #Apple $AAPL From @GlassWaveApps",1918.0,3663.0,Designed in California,http://pbs.twimg.com/profile_images/460560202761109504/cDCqNA6s_normal.png,110503.0,1.5810273524062945e+18,MacHash,Iris ID: Apple mixed-reality headset said to sport iris scanning for user authentication https://t.co/ALSBMcTW3y… https://t.co/XYqpgtWoRo
Fri Oct 14 21:00:54 +0000 2022,Get the latest news and research reports from small to large-cap stocks. Amplify your press release with our press release native advertising platform.,9894.0,8.0,"Vancouver, BC",http://pbs.twimg.com/profile_images/1541817595782766592/zDJjSnRM_normal.jpg,465.0,1.5810272905021604e+18,PressReach,"Apple $AAPL Stock Price Expectations Are Shifting 📊

https://t.co/fM9BjwIWwD

#Apple #AAPL #stockmarket #technology #technologynews"
